title,year,country,genres,director,cast,overview
Sunset Boulevard,1950,['United States of America'],['Drama'],Billy Wilder,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson', 'Fred Clark']",A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.
All About Eve,1950,['United States of America'],['Drama'],Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm', 'Gary Merrill']","From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit."
Rashomon,1950,['Japan'],"['Crime', 'Drama', 'Mystery']",Akira Kurosawa,"['Toshirō Mifune', 'Machiko Kyō', 'Takashi Shimura', 'Masayuki Mori', 'Minoru Chiaki']",Four people recount different versions of the story of a man's murder and the rape of his wife.
Cinderella,1950,['United States of America'],"['Family', 'Fantasy', 'Animation', 'Romance']",Clyde Geronimi,"['Ilene Woods', 'Eleanor Audley', 'Verna Felton', 'Claire Du Brey', 'Rhoda Williams']","Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!"
Strangers on a Train,1951,['United States of America'],"['Crime', 'Thriller']",Alfred Hitchcock,"['Farley Granger', 'Ruth Roman', 'Robert Walker', 'Leo G. Carroll', 'Patricia Hitchcock']",A charming psychopath tries to coerce a tennis star into his theory that two strangers can commit the perfect crime by exchanging murders—each killing the other’s most-hated person.
A Streetcar Named Desire,1951,['United States of America'],"['Drama', 'Thriller']",Elia Kazan,"['Vivien Leigh', 'Marlon Brando', 'Kim Hunter', 'Karl Malden', 'Rudy Bond']","A disturbed, aging Southern belle moves in with her sister for solace — but being face-to-face with her brutish brother-in-law accelerates her downward spiral."
The Day the Earth Stood Still,1951,['United States of America'],"['Science Fiction', 'Thriller', 'Drama']",Robert Wise,"['Michael Rennie', 'Patricia Neal', 'Billy Gray', 'Sam Jaffe', 'Hugh Marlowe']",An alien and a robot land on Earth after World War II and tell mankind to be peaceful or face destruction.
Alice in Wonderland,1951,['United States of America'],"['Animation', 'Family', 'Fantasy', 'Adventure']",Clyde Geronimi,"['Kathryn Beaumont', 'Ed Wynn', 'Richard Haydn', 'Sterling Holloway', 'Jerry Colonna']","On a golden afternoon, wildly curious young Alice tumbles into the burrow and enters the merry, madcap world of Wonderland full of whimsical escapades."
Ikiru,1952,['Japan'],['Drama'],Akira Kurosawa,"['Takashi Shimura', 'Haruo Tanaka', 'Nobuo Kaneko', 'Bokuzen Hidari', 'Miki Odagiri']","Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life."
Singin' in the Rain,1952,['United States of America'],"['Comedy', 'Romance']",Stanley Donen,"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds', 'Jean Hagen', 'Millard Mitchell']","In 1927 Hollywood, a silent film star falls for a chorus girl just as he and his paranoid screen partner struggle to make the difficult transition to talking pictures."
